id,college_name,program,exam,category,quota,closing_rank
1,NIT Trichy,Computer Science and Engg,JEE Main,General,AI,850
2,NIT Trichy,Computer Science and Engg,JEE Main,EWS,AI,2200
3,NIT Trichy,Computer Science and Engg,JEE Main,OBC-NCL,AI,3100
4,NIT Trichy,Electronics and Comm. Engg,JEE Main,General,AI,2100
5,NIT Trichy,Electrical Engineering,JEE Main,General,AI,4500
6,NIT Trichy,Mechanical Engineering,JEE Main,SC,AI,15000
7,NIT Warangal,Computer Science and Engg,JEE Main,General,AI,1400
8,NIT Warangal,Computer Science and Engg,JEE Main,OBC-NCL,AI,4200
9,NIT Warangal,Electrical Engineering,JEE Main,General,AI,5800
10,NIT Warangal,Mechanical Engineering,JEE Main,ST,AI,25000
11,NIT Surathkal,Computer Science and Engg,JEE Main,General,AI,2050
12,NIT Surathkal,Computer Science and Engg,JEE Main,EWS,AI,3500
13,NIT Surathkal,Civil Engineering,JEE Main,General,AI,15500
14,NIT Surathkal,Civil Engineering,JEE Main,OBC-NCL,AI,25000
15,MNNIT Allahabad,Computer Science and Engg,JEE Main,General,AI,4000
16,MNNIT Allahabad,IT,JEE Main,General,AI,5500
17,MNNIT Allahabad,IT,JEE Main,SC,AI,18500
18,MNNIT Allahabad,Chemical Engineering,JEE Main,General,AI,18000
19,NIT Rourkela,Electronics and Comm. Engg,JEE Main,General,AI,6200
20,NIT Rourkela,Electronics and Comm. Engg,JEE Main,EWS,AI,9000
21,NIT Rourkela,Metallurgy and Materials Engg,JEE Main,General,AI,35000
22,NIT Rourkela,Civil Engineering,JEE Main,ST,AI,55000
23,IIIT Hyderabad,CSE,JEE Main,General,AI,500
24,IIIT Hyderabad,ECE,JEE Main,General,AI,1200
25,IIIT Delhi,CSE,JEE Main,General,AI,2500
26,IIIT Delhi,ECE,JEE Main,OBC-NCL,AI,7000
27,IIIT Lucknow,IT,JEE Main,General,AI,8000
28,IIIT Lucknow,IT,JEE Main,EWS,AI,12000
29,IIIT Pune,CSE,JEE Main,General,AI,10500
30,IIIT Pune,ECE,JEE Main,SC,AI,45000
31,NIT Jaipur,Mechanical Engineering,JEE Main,General,HS,15000
32,NIT Jaipur,Mechanical Engineering,JEE Main,General,OS,18000
33,NIT Jaipur,Architecture,JEE Main,OBC-NCL,OS,32000
34,NIT Calicut,Production Engineering,JEE Main,General,HS,25000
35,NIT Calicut,Production Engineering,JEE Main,General,OS,35000
36,"BIT Mesra, Ranchi (GFTI)",CSE,JEE Main,General,AI,18000
37,"BIT Mesra, Ranchi (GFTI)",ECE,JEE Main,General,AI,28000
38,IIEST Shibpur (GFTI),Mining Engineering,JEE Main,General,AI,45000
39,IIEST Shibpur (GFTI),Mining Engineering,JEE Main,ST,AI,95000
40,NIT Silchar,CSE,JEE Main,General,HS,38000
41,NIT Silchar,CSE,JEE Main,General,OS,22000
42,NIT Silchar,CSE,JEE Main,OBC-NCL,OS,25000
43,NIT Agartala,ECE,JEE Main,General,AI,50000
44,NIT Agartala,ECE,JEE Main,EWS,AI,85000
